id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
178,Placer,4374.0,59.0,39,0,2020-10-31T00:00:00
179,Merced,9597.0,156.0,58,0,2020-10-31T00:00:00
180,Fresno,31558.0,443.0,149,0,2020-10-31T00:00:00
181,Alpine,4.0,0.0,0,0,2020-10-30T00:00:00
182,Del Norte,175.0,1.0,1,0,2020-10-30T00:00:00
183,Placer,4335.0,59.0,65,0,2020-10-30T00:00:00
184,San Joaquin,21849.0,494.0,113,2,2020-10-30T00:00:00
185,Inyo,241.0,15.0,3,0,2020-10-30T00:00:00
186,Glenn,674.0,3.0,1,0,2020-10-30T00:00:00
187,Tulare,17682.0,293.0,55,1,2020-10-30T00:00:00
188,Merced,9539.0,156.0,43,1,2020-10-30T00:00:00
189,Santa Clara,24811.0,406.0,197,2,2020-10-30T00:00:00
190,Colusa,554.0,6.0,2,0,2020-10-30T00:00:00
191,Tuolumne,286.0,6.0,7,0,2020-10-30T00:00:00
192,El Dorado,1386.0,4.0,16,0,2020-10-30T00:00:00
193,Orange,59334.0,1475.0,288,7,2020-10-30T00:00:00
194,San Diego,56387.0,888.0,471,3,2020-10-30T00:00:00
195,Riverside,67752.0,1319.0,484,13,2020-10-30T00:00:00
196,San Bernardino,63512.0,1074.0,544,1,2020-10-30T00:00:00
197,Sacramento,26147.0,500.0,169,0,2020-10-30T00:00:00
198,San Benito,1440.0,15.0,9,0,2020-10-30T00:00:00
199,Butte,3160.0,53.0,17,0,2020-10-30T00:00:00
200,Amador,344.0,16.0,6,0,2020-10-30T00:00:00
201,Tehama,932.0,9.0,7,0,2020-10-30T00:00:00
202,San Luis Obispo,4256.0,32.0,33,0,2020-10-30T00:00:00
203,Yuba,1256.0,10.0,8,0,2020-10-30T00:00:00
204,Humboldt,561.0,10.0,2,0,2020-10-30T00:00:00
205,Marin,7097.0,127.0,14,0,2020-10-30T00:00:00
206,Santa Barbara,9937.0,128.0,35,2,2020-10-30T00:00:00
207,Nevada,634.0,9.0,2,1,2020-10-30T00:00:00
208,Sutter,1860.0,12.0,8,0,2020-10-30T00:00:00
209,Solano,7497.0,76.0,44,0,2020-10-30T00:00:00
210,Siskiyou,192.0,0.0,7,0,2020-10-30T00:00:00
211,San Mateo,11207.0,161.0,62,2,2020-10-30T00:00:00
212,San Francisco,12384.0,147.0,72,2,2020-10-30T00:00:00
213,Madera,4991.0,76.0,21,0,2020-10-30T00:00:00
214,Monterey,11491.0,95.0,66,0,2020-10-30T00:00:00
215,Sonoma,9602.0,136.0,69,0,2020-10-30T00:00:00
216,Mendocino,1062.0,21.0,4,0,2020-10-30T00:00:00
217,Los Angeles,303425.0,7056.0,1179,12,2020-10-30T00:00:00
218,Ventura,14578.0,166.0,92,0,2020-10-30T00:00:00
219,Out Of Country,0.0,0.0,0,0,2020-10-30T00:00:00
220,Shasta,2048.0,31.0,40,0,2020-10-30T00:00:00
221,Trinity,29.0,0.0,1,0,2020-10-30T00:00:00
222,Calaveras,279.0,21.0,1,0,2020-10-30T00:00:00
223,Sierra,6.0,0.0,0,0,2020-10-30T00:00:00
224,Kings,8564.0,83.0,62,0,2020-10-30T00:00:00
225,Yolo,3263.0,60.0,17,0,2020-10-30T00:00:00
226,Stanislaus,17861.0,400.0,71,0,2020-10-30T00:00:00
227,Santa Cruz,2874.0,26.0,24,1,2020-10-30T00:00:00
228,Lake,720.0,17.0,18,0,2020-10-30T00:00:00
229,Fresno,31409.0,443.0,88,4,2020-10-30T00:00:00
230,Unassigned,2.0,0.0,0,0,2020-10-30T00:00:00
231,Lassen,777.0,1.0,5,0,2020-10-30T00:00:00
232,Contra Costa,19074.0,246.0,141,0,2020-10-30T00:00:00
233,Mono,193.0,2.0,17,0,2020-10-30T00:00:00
234,Kern,33583.0,423.0,123,1,2020-10-30T00:00:00
235,Modoc,34.0,0.0,3,0,2020-10-30T00:00:00
236,Imperial,12853.0,338.0,84,0,2020-10-30T00:00:00
237,Napa,2028.0,16.0,19,0,2020-10-30T00:00:00
238,Alameda,23676.0,463.0,146,0,2020-10-30T00:00:00
239,Plumas,80.0,0.0,11,0,2020-10-30T00:00:00
240,Mariposa,78.0,2.0,0,0,2020-10-30T00:00:00
241,Amador,338.0,16.0,1,0,2020-10-29T00:00:00
242,Monterey,11425.0,95.0,95,3,2020-10-29T00:00:00
243,Riverside,67268.0,1306.0,265,1,2020-10-29T00:00:00
244,Orange,59046.0,1468.0,245,1,2020-10-29T00:00:00
245,Alameda,23530.0,463.0,62,1,2020-10-29T00:00:00
246,San Luis Obispo,4223.0,32.0,26,0,2020-10-29T00:00:00
247,Merced,9496.0,155.0,16,0,2020-10-29T00:00:00
248,Siskiyou,185.0,0.0,3,0,2020-10-29T00:00:00
249,Trinity,28.0,0.0,0,0,2020-10-29T00:00:00
250,Marin,7083.0,127.0,4,0,2020-10-29T00:00:00
251,Lake,702.0,17.0,2,1,2020-10-29T00:00:00
252,Modoc,31.0,0.0,0,0,2020-10-29T00:00:00
253,Los Angeles,302246.0,7044.0,1520,4,2020-10-29T00:00:00
254,Tulare,17627.0,292.0,58,1,2020-10-29T00:00:00
255,Contra Costa,18933.0,246.0,105,3,2020-10-29T00:00:00
256,San Bernardino,62968.0,1073.0,190,0,2020-10-29T00:00:00
257,Yolo,3246.0,60.0,16,0,2020-10-29T00:00:00
258,San Francisco,12312.0,145.0,51,0,2020-10-29T00:00:00
259,Napa,2009.0,16.0,11,0,2020-10-29T00:00:00
260,Humboldt,559.0,10.0,0,0,2020-10-29T00:00:00
261,Calaveras,278.0,21.0,0,0,2020-10-29T00:00:00
262,Santa Clara,24614.0,404.0,111,2,2020-10-29T00:00:00
263,Sonoma,9533.0,136.0,76,0,2020-10-29T00:00:00
264,Imperial,12769.0,338.0,39,2,2020-10-29T00:00:00
265,Fresno,31321.0,439.0,126,0,2020-10-29T00:00:00
266,Glenn,673.0,3.0,0,0,2020-10-29T00:00:00
267,El Dorado,1370.0,4.0,7,0,2020-10-29T00:00:00
268,San Benito,1431.0,15.0,2,0,2020-10-29T00:00:00
269,Tehama,925.0,9.0,4,0,2020-10-29T00:00:00
270,Solano,7453.0,76.0,91,0,2020-10-29T00:00:00
271,Santa Barbara,9902.0,126.0,30,0,2020-10-29T00:00:00
272,Nevada,632.0,8.0,3,0,2020-10-29T00:00:00
273,Yuba,1248.0,10.0,3,0,2020-10-29T00:00:00
274,Sacramento,25978.0,500.0,140,1,2020-10-29T00:00:00
275,San Diego,55916.0,885.0,360,4,2020-10-29T00:00:00
276,Sierra,6.0,0.0,0,0,2020-10-29T00:00:00
277,San Mateo,11145.0,159.0,44,0,2020-10-29T00:00:00
278,San Joaquin,21736.0,492.0,29,0,2020-10-29T00:00:00
279,Placer,4270.0,59.0,34,2,2020-10-29T00:00:00
280,Inyo,238.0,15.0,0,0,2020-10-29T00:00:00
281,Del Norte,174.0,1.0,1,0,2020-10-29T00:00:00
282,Butte,3143.0,53.0,9,0,2020-10-29T00:00:00
283,Mono,176.0,2.0,0,0,2020-10-29T00:00:00
284,Colusa,552.0,6.0,1,0,2020-10-29T00:00:00
285,Out Of Country,0.0,0.0,0,0,2020-10-29T00:00:00
