county_id,county_name,confirmed_cases,new_confirmed_cases,deaths,new_deaths,date
35,Lassen,748,0,0,0,2020-10-07
37,Los Angeles,277487,1567,6709,25,2020-10-07
39,Madera,4720,2,70,0,2020-10-07
41,Marin,6828,8,124,1,2020-10-07
43,Mariposa,77,0,2,0,2020-10-07
45,Mendocino,1025,4,21,0,2020-10-07
47,Merced,9111,21,149,0,2020-10-07
49,Modoc,28,0,0,0,2020-10-07
51,Mono,169,0,2,0,2020-10-07
53,Monterey,10475,42,78,3,2020-10-07
55,Napa,1770,4,12,0,2020-10-07
57,Nevada,554,1,7,0,2020-10-07
59,Orange,55042,144,1292,3,2020-10-07
61,Placer,3710,16,51,0,2020-10-07
63,Plumas,52,0,0,0,2020-10-07
65,Riverside,61133,266,1247,3,2020-10-07
67,Sacramento,23420,57,445,8,2020-10-07
69,San Benito,1372,1,13,1,2020-10-07
71,San Bernardino,56823,301,967,1,2020-10-07
73,San Diego,49175,354,813,7,2020-10-07
75,San Francisco,11533,28,114,3,2020-10-07
77,San Joaquin,20779,48,473,1,2020-10-07
79,San Luis Obispo,3779,24,31,0,2020-10-07
81,San Mateo,10347,38,154,0,2020-10-07
83,Santa Barbara,9363,23,115,0,2020-10-07
85,Santa Clara,22056,78,353,6,2020-10-07
87,Santa Cruz,2535,8,18,4,2020-10-07
89,Shasta,1242,84,22,0,2020-10-07
91,Sierra,6,0,0,0,2020-10-07
93,Siskiyou,172,1,0,0,2020-10-07
95,Solano,6658,34,74,2,2020-10-07
97,Sonoma,8083,46,126,4,2020-10-07
99,Stanislaus,16804,37,379,2,2020-10-07
101,Sutter,1770,3,12,0,2020-10-07
103,Tehama,660,17,7,0,2020-10-07
105,Trinity,19,0,0,0,2020-10-07
107,Tulare,16634,27,267,2,2020-10-07
109,Tuolumne,234,1,4,0,2020-10-07
111,Ventura,13147,82,157,3,2020-10-07
113,Yolo,2909,6,56,0,2020-10-07
115,Yuba,1217,6,10,0,2020-10-07
1,Alameda,21807,61,427,2,2020-10-06
3,Alpine,3,0,0,0,2020-10-06
5,Amador,264,0,15,0,2020-10-06
7,Butte,2880,6,45,0,2020-10-06
9,Calaveras,329,5,14,0,2020-10-06
11,Colusa,540,1,6,0,2020-10-06
13,Contra Costa,17365,43,218,5,2020-10-06
15,Del Norte,155,3,1,0,2020-10-06
17,El Dorado,1216,9,4,0,2020-10-06
19,Fresno,29022,0,406,7,2020-10-06
21,Glenn,618,9,3,0,2020-10-06
23,Humboldt,524,2,8,0,2020-10-06
25,Imperial,12109,33,326,0,2020-10-06
27,Inyo,199,2,15,0,2020-10-06
29,Kern,32609,87,387,1,2020-10-06
31,Kings,7933,14,82,0,2020-10-06
33,Lake,595,2,12,0,2020-10-06
35,Lassen,748,4,0,0,2020-10-06
37,Los Angeles,275920,902,6684,29,2020-10-06
39,Madera,4718,12,70,0,2020-10-06
41,Marin,6820,24,123,4,2020-10-06
43,Mariposa,77,1,2,0,2020-10-06
45,Mendocino,1021,11,21,1,2020-10-06
47,Merced,9090,9,149,1,2020-10-06
49,Modoc,28,0,0,0,2020-10-06
51,Mono,169,0,2,0,2020-10-06
53,Monterey,10433,31,75,0,2020-10-06
